image_id,filename,path,category,domain_label,is_hard_sample,source,group_id,sha256,notes,split
v2_astro_gz2_265947,v2_astro_gz2_265947.jpg,ml/data/domain_gate_v2/astronomical/v2_astro_gz2_265947.jpg,galaxy_zoo_sdss,ASTRONOMICAL,False,SDSS Galaxy Zoo 2 Target Observation,gz2_265947,7b34682c9029b783e0059253b0db593f367d0daa22612960e436c6726f809edd,Real SDSS galaxy observation cutout (morphology: OTHER),TRAIN
v2_astro_gz2_173768,v2_astro_gz2_173768.jpg,ml/data/domain_gate_v2/astronomical/v2_astro_gz2_173768.jpg,galaxy_zoo_sdss,ASTRONOMICAL,False,SDSS Galaxy Zoo 2 Target Observation,gz2_173768,6a3c2277acba376bc70f39abeed0fdeced525e2e43d46792f871e936e1c21fbe,Real SDSS galaxy observation cutout (morphology: DISK_FEATURE),TEST
v2_astro_gz2_152739,v2_astro_gz2_152739.jpg,ml/data/domain_gate_v2/astronomical/v2_astro_gz2_152739.jpg,galaxy_zoo_sdss,ASTRONOMICAL,False,SDSS Galaxy Zoo 2 Target Observation,gz2_152739,5708f1375873530ac0829bf7a1f02861560b7ae932b626f445807429988e8126,Real SDSS galaxy observation cutout (morphology: SPIRAL),TRAIN
v2_astro_gz2_267773,v2_astro_gz2_267773.jpg,ml/data/domain_gate_v2/astronomical/v2_astro_gz2_267773.jpg,galaxy_zoo_sdss,ASTRONOMICAL,False,SDSS Galaxy Zoo 2 Target Observation,gz2_267773,77ad3573ba123758fd52ee53ea0af7aea0fc14d83d679a0236bbe260951050fa,Real SDSS galaxy observation cutout (morphology: SPIRAL),TRAIN
v2_astro_gz2_144273,v2_astro_gz2_144273.jpg,ml/data/domain_gate_v2/astronomical/v2_astro_gz2_144273.jpg,galaxy_zoo_sdss,ASTRONOMICAL,False,SDSS Galaxy Zoo 2 Target Observation,gz2_144273,26424f429b17311043880e69b95b517de4ca836e772c115ab00a81395c9aac82,Real SDSS galaxy observation cutout (morphology: SMOOTH),VAL
v2_astro_gz2_176639,v2_astro_gz2_176639.jpg,ml/data/domain_gate_v2/astronomical/v2_astro_gz2_176639.jpg,galaxy_zoo_sdss,ASTRONOMICAL,False,SDSS Galaxy Zoo 2 Target Observation,gz2_176639,ba583b88fc1e891403557c4f873c589e3c8cd07cd90d6d9386f89146e147b4af,Real SDSS galaxy observation cutout (morphology: SPIRAL),TRAIN
v2_astro_gz2_242252,v2_astro_gz2_242252.jpg,ml/data/domain_gate_v2/astronomical/v2_astro_gz2_242252.jpg,galaxy_zoo_sdss,ASTRONOMICAL,False,SDSS Galaxy Zoo 2 Target Observation,gz2_242252,54e8e62c8fef70c24ffd736a8011077076414411c74411429576ea6fac5c378e,Real SDSS galaxy observation cutout (morphology: OTHER),TRAIN
v2_astro_gz2_156609,v2_astro_gz2_156609.jpg,ml/data/domain_gate_v2/astronomical/v2_astro_gz2_156609.jpg,galaxy_zoo_sdss,ASTRONOMICAL,False,SDSS Galaxy Zoo 2 Target Observation,gz2_156609,841cc5eb35295e1b709b3c2c03a19e22470c87630f2d7f7016d1e2f80dbeb0eb,Real SDSS galaxy observation cutout (morphology: OTHER),TRAIN
v2_astro_gz2_3680,v2_astro_gz2_3680.jpg,ml/data/domain_gate_v2/astronomical/v2_astro_gz2_3680.jpg,galaxy_zoo_sdss,ASTRONOMICAL,False,SDSS Galaxy Zoo 2 Target Observation,gz2_3680,90978759514caf9644dec02046b3300a21348830bc0ba6d1f68ea35b070ab897,Real SDSS galaxy observation cutout (morphology: OTHER),VAL
v2_astro_gz2_228320,v2_astro_gz2_228320.jpg,ml/data/domain_gate_v2/astronomical/v2_astro_gz2_228320.jpg,galaxy_zoo_sdss,ASTRONOMICAL,False,SDSS Galaxy Zoo 2 Target Observation,gz2_228320,b3c30a3a566e6dd78ec95ee62df128be588319675c4e7da48dcf2c279811fd9f,Real SDSS galaxy observation cutout (morphology: SPIRAL),TRAIN
