id,asset_id,dr7objid,ra,dec,gz2class,broad_morphology,object_type,confidence,anomaly_score,ood_score,priority,catalog_status,catalog_name,observation_time,image_url,split,is_demo,explanation,provenance,p_smooth,p_features,p_edgeon,p_spiral,p_bar,p_odd
LIB-000001,4033,587725039553740888,177.07516,-3.11701,Ser,EDGE_ON,Galaxy,0.7295,0.2075,0.2075,LOW,MATCHED,SDSS DR7 J587725+0395,2026-01-01T00:00:00Z,/library/images/4033.jpg,train,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 0.73 with 73.0% classification confidence. Original GZ2 taxonomy: 'Ser'.",Galaxy Zoo 2 Survey / SDSS DR7,0.4336,0.6796,0.7295,0.4665,0.1361,0.1446
LIB-000002,4098,587725039556886694,184.19498,-3.18572,Ser,EDGE_ON,Galaxy,0.99,0.0661,0.0661,LOW,MATCHED,SDSS DR7 J587725+0395,2026-02-02T01:01:00Z,/library/images/4098.jpg,train,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 1.00 with 99.0% classification confidence. Original GZ2 taxonomy: 'Ser'.",Galaxy Zoo 2 Survey / SDSS DR7,0.2036,0.7262,1.0,0.0,0.0,0.1221
LIB-000003,4370,587725040096641247,190.86852,-2.83337,Sen,EDGE_ON,Galaxy,0.7583,0.1361,0.1361,LOW,MATCHED,SDSS DR7 J587725+0400,2026-03-03T02:02:00Z,/library/images/4370.jpg,train,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 0.76 with 75.8% classification confidence. Original GZ2 taxonomy: 'Sen'.",Galaxy Zoo 2 Survey / SDSS DR7,0.191,0.9359,0.7583,0.2447,0.0,0.0305
LIB-000004,5404,587725074995282097,146.51535,0.16679,Sen(m),EDGE_ON,Galaxy,0.6035,0.6148,0.6148,MEDIUM,MATCHED,SDSS DR7 J587725+0749,2026-04-04T03:03:00Z,/library/images/5404.jpg,train,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 0.60 with 60.3% classification confidence. Original GZ2 taxonomy: 'Sen(m)'. Note: Galaxy Zoo oddity attribute is elevated (p_odd = 0.83).",Galaxy Zoo 2 Survey / SDSS DR7,0.142,0.8493,0.6035,0.2915,0.2811,0.8331
LIB-000005,5486,587725075527827780,136.74583,0.54278,Ser(o),EDGE_ON,Galaxy,0.99,0.3185,0.3185,LOW,MATCHED,SDSS DR7 J587725+0755,2026-05-05T04:04:00Z,/library/images/5486.jpg,train,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 1.00 with 99.0% classification confidence. Original GZ2 taxonomy: 'Ser(o)'. Note: Galaxy Zoo oddity attribute is elevated (p_odd = 0.63).",Galaxy Zoo 2 Survey / SDSS DR7,0.0457,0.939,1.0,0.0,0.0,0.627
LIB-000006,5495,587725075528941624,139.20848,0.57271,Sen,EDGE_ON,Galaxy,0.7929,0.1416,0.1416,LOW,MATCHED,SDSS DR7 J587725+0755,2026-06-06T05:05:00Z,/library/images/5495.jpg,train,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 0.79 with 79.3% classification confidence. Original GZ2 taxonomy: 'Sen'.",Galaxy Zoo 2 Survey / SDSS DR7,0.6641,0.6907,0.7929,1.0,0.1504,0.0762
LIB-000007,7062,587725470134370424,134.6432,54.03683,Ser,EDGE_ON,Galaxy,0.8654,0.1494,0.1494,LOW,MATCHED,SDSS DR7 J587725+4701,2026-07-07T06:06:00Z,/library/images/7062.jpg,train,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 0.87 with 86.5% classification confidence. Original GZ2 taxonomy: 'Ser'.",Galaxy Zoo 2 Survey / SDSS DR7,0.0398,0.942,0.8654,0.0,0.82,0.1643
LIB-000008,7471,587725471210406027,140.52725,58.18348,Ser,EDGE_ON,Galaxy,0.99,0.05,0.05,LOW,MATCHED,SDSS DR7 J587725+4712,2026-08-08T07:07:00Z,/library/images/7471.jpg,test,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 1.00 with 99.0% classification confidence. Original GZ2 taxonomy: 'Ser'.",Galaxy Zoo 2 Survey / SDSS DR7,0.0454,0.9891,1.0,0.0,0.0,0.0
LIB-000009,7820,587725490524520606,255.81393,60.33775,Ser(o),EDGE_ON,Galaxy,0.8301,0.3865,0.3865,LOW,MATCHED,SDSS DR7 J587725+4905,2026-09-09T08:08:00Z,/library/images/7820.jpg,train,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 0.83 with 83.0% classification confidence. Original GZ2 taxonomy: 'Ser(o)'. Note: Galaxy Zoo oddity attribute is elevated (p_odd = 0.60).",Galaxy Zoo 2 Survey / SDSS DR7,0.4043,0.722,0.8301,0.0,0.0686,0.6032
LIB-000010,8144,587725492138475785,262.5849,53.55152,Sen,EDGE_ON,Galaxy,0.9015,0.05,0.05,LOW,MATCHED,SDSS DR7 J587725+4921,2026-10-10T09:09:00Z,/library/images/8144.jpg,test,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 0.90 with 90.2% classification confidence. Original GZ2 taxonomy: 'Sen'.",Galaxy Zoo 2 Survey / SDSS DR7,0.1457,0.9477,0.9015,0.0,0.0,0.0
LIB-000011,8408,587725504486309992,261.0903,53.86871,Ser,EDGE_ON,Galaxy,0.846,0.0958,0.0958,LOW,WEAK_MATCH,SDSS DR7 J587725+5044,2026-11-11T10:10:00Z,/library/images/8408.jpg,train,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 0.85 with 84.6% classification confidence. Original GZ2 taxonomy: 'Ser'.",Galaxy Zoo 2 Survey / SDSS DR7,0.4806,0.4946,0.846,0.0,0.0,0.0375
LIB-000012,8737,587725550141964422,202.75555,65.21977,Sen,EDGE_ON,Galaxy,0.99,0.1257,0.1257,LOW,MATCHED,SDSS DR7 J587725+5501,2026-12-12T11:11:00Z,/library/images/8737.jpg,train,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 1.00 with 99.0% classification confidence. Original GZ2 taxonomy: 'Sen'.",Galaxy Zoo 2 Survey / SDSS DR7,0.316,0.6976,1.0,0.0,0.0,0.2413
LIB-000013,9978,587725552268083463,117.65961,44.06685,Ser,EDGE_ON,Galaxy,0.99,0.1479,0.1479,LOW,MATCHED,SDSS DR7 J587725+5522,2026-01-13T12:12:00Z,/library/images/9978.jpg,train,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 1.00 with 99.0% classification confidence. Original GZ2 taxonomy: 'Ser'.",Galaxy Zoo 2 Survey / SDSS DR7,0.2428,0.9036,1.0,0.0,0.0,0.2857
LIB-000014,10869,587725576961916968,261.48178,60.55554,Sen(o),EDGE_ON,Galaxy,0.545,0.4994,0.4994,MEDIUM,MATCHED,SDSS DR7 J587725+5769,2026-02-14T13:13:00Z,/library/images/10869.jpg,test,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 0.55 with 54.5% classification confidence. Original GZ2 taxonomy: 'Sen(o)'. Note: Galaxy Zoo oddity attribute is elevated (p_odd = 0.54).",Galaxy Zoo 2 Survey / SDSS DR7,0.3198,0.688,0.545,0.5177,0.0,0.5437
LIB-000015,11236,587725589846491381,260.4708,60.96535,Sen,EDGE_ON,Galaxy,0.929,0.1239,0.1239,LOW,WEAK_MATCH,SDSS DR7 J587725+5898,2026-03-15T14:14:00Z,/library/images/11236.jpg,train,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 0.93 with 92.9% classification confidence. Original GZ2 taxonomy: 'Sen'.",Galaxy Zoo 2 Survey / SDSS DR7,0.4278,0.5497,0.929,0.0,0.0,0.1768
LIB-000016,11450,587725591455859006,261.3875,64.0473,Ser,EDGE_ON,Galaxy,0.786,0.1226,0.1226,LOW,MATCHED,SDSS DR7 J587725+5914,2026-04-16T15:15:00Z,/library/images/11450.jpg,train,False,"This observation is classified as an edge-on disk galaxy, viewed near parallel to its galactic plane. Edge-on inclination probability is 0.79 with 78.6% classification confidence. Original GZ2 taxonomy: 'Ser'.",Galaxy Zoo 2 Survey / SDSS DR7,0.0775,0.9695,0.786,0.3614,0.0,0.0311
